name|parent_id|complete_name|pms|faes|arancel_id|estimate_cost|level
MONOCHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD / MONOCHASIS|PM-RRELATS|FAE-4|84733080|6,35|5
"RACK 19"""|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD / RACK 19"""|PM-RRELATS|FAE-4|84733080|6,35|5
MONITOR|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD / MONITOR|PM-RRELATS|FAE-4|84733080|6,35|5
CONTROL|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / CONTROL|PM-ILED|FAE-9|84733080|13,1|4
ACCESORIO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / STANDARD / ACCESORIO|PM-RRELATS|FAE-4|84733080|6,35|5
A MEDIDA|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / A MEDIDA|PM-RRELATS|FAE-4|84733080|6,35|4
CHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / A MEDIDA|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / A MEDIDA / CHASIS|PM-RRELATS|FAE-4|84733080|6,35|5
ACCESORIO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / A MEDIDA|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / CHASIS / A MEDIDA / ACCESORIO|PM-RRELATS|FAE-4|84733080|6,35|5
TRADE SISTEMAS|HARDWARE INDUSTRIAL|HARDWARE INDUSTRIAL / TRADE SISTEMAS|PM-RRELATS|FAE-4|84733080|6,35|2
PERIFERICO|HARDWARE INDUSTRIAL / TRADE SISTEMAS|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO|PM-RRELATS|FAE-4|84733080|6,35|3
PERIFERICO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO|PM-RRELATS|FAE-4|84733080|6,35|3
ALMACENAMIENTO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO|PM-RRELATS|FAE-4|84733080|6,35|4
DISCO DURO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO / DISCO DURO|PM-RRELATS|FAE-4|84733080|6,35|5
FLASH|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO / FLASH|PM-RRELATS|FAE-4|85423269|6,35|5
ADAPTADOR|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO / ADAPTADOR|PM-RRELATS|FAE-4|84733080|6,35|5
CABLE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALMACENAMIENTO / CABLE|PM-RRELATS|FAE-4|84733080|6,35|5
MEMORIA RAM|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / MEMORIA RAM|PM-RRELATS|FAE-4|84733080|6,35|4
DIMM|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / MEMORIA RAM|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / MEMORIA RAM / DIMM|PM-RRELATS|FAE-4|85423269|6,35|5
SODIMM|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / MEMORIA RAM|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / MEMORIA RAM / SODIMM|PM-RRELATS|FAE-4|85423269|6,35|5
ALIMENTACI¾N|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / ALIMENTACI¾N|PM-ILED|FAE-9|85043180|13,1|4
PROCESADOR|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / PROCESADOR|PM-RRELATS|FAE-4|85423190|6,35|4
BACKPLANE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / BACKPLANE|PM-RRELATS|FAE-4|85423190|6,35|4
PICMG 1.0|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / BACKPLANE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / BACKPLANE / PICMG 1.0|PM-RRELATS|FAE-4|84733080|6,35|5
PICMG 1.3|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / BACKPLANE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / BACKPLANE / PICMG 1.3|PM-RRELATS|FAE-4|84733080|6,35|5
RISER CARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / BACKPLANE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / BACKPLANE / RISER CARD|PM-RRELATS|FAE-4|84733080|6,35|5
