name|product_tmpl_id|product_name|product_code
110574|60CKQ045SCX||1041400459001
110574|60JKQ045||D040M4202RCT0
110574|61801-REV02||1023990460300
110574|61826-REV00||102193500600
100888|63000-FSP036RAB608-RS||5216-186
101280|63000-FSP036RAB608-RS||124140014-G
101370|63000-UP0451E12P71L||HARDW950
100888|63040-010060-050-RS||5216-0174
100888|63040-010060-120-RS||5216-0129
110500|63040-010096-010-RS||53418056
110500|63040-010096-100-RS||53418056
110343|681KD10SB||VAR420/25
100009|6G-3E||65200298
100653|6G-60||2HU003A
100009|6G-92||65200296
100168|6MHZ||90505012
100974|6MHZ||90505012
100988|6MHZ||90505012
110507|6MHZ-AT49||18,006,000,00
100152|6VRD24W15LCH||EIV04042
101471|6W210||2232
101586|6W316||98360
110490|6W316||37100
100139|7,3728MHZ||180067370
110487|7099415424||79655290
110500|731963||55001017
110196|74ACT125MTC||325-155-125
110196|74ACT125MTCX||325-155-125
110196|74HC4053WM||324-402-501
110196|74HCT123D||325-075-123
110196|74LVTH125MTC||325-384-125
110196|74VCXH16374-DT||325-395-374
110574|7703406UA||937930137
110067|7703407UA||937950117
110067|7703408UA||937940137
110491|7812||9116/004
110397|7N400AAJF||AN000021
103813|80532-REV00||2IO-1906-0038
110574|80CLQ150||1041301509000
102773|80GBHD2.5/WD||40
100858|820KD07SB-N||5160007
102860|84-OF200-M1/RT232||400000627
102860|84-OF200-U1||400000628
110574|8549||I17A7058001M5
110329|85-5077||5060214030
110574|8694*B||1100527099295
110574|8694*S||1100527099295
100518|8743-EM||920042
100816|8GBSSD/SATADOM/ACOD/TR||15209
100139|8MHZ||180068000
100198|8MHZ||XTG08000
100473|8MHZ||006-C-8MHZ
100495|8MHZ||4CV01110001
100499|8MHZ||4CV01110001
100990|8MHZ||35110001
101233|8MHZ||A3670P1
103605|8MHZ||A3670P1
104035|8MHZ||4CV01110001
110436|8MHZ||641800
110459|8MHZ||641806
120015|8MHZ||A3670P1
120334|8MHZ||4CV01110001
100946|8MHZ-16PF-AT41-NDK||66890062
140020|8MHZ-40º/80º-20PF15P||CT00CZ158REX
100139|8MHZ-AT49||180068001
