"name"|"parent_id"|"complete_name"|"pms"|"faes"|"arancel_id"|"logistics_cost"|"level"
"KIOSKO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM / KIOSKO"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"CARROZADA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM / CARROZADA"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"OTRO"|"COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER"|"COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER / OTRO"|"Anna Teotino"|"Anna Teotino"|"85176200"|"7,25"|"5"
"MARCAJE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE"|"Anna Teotino"|"Anna Teotino"|"85176200"|"2,35"|"4"
"DESKTOP"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE / DESKTOP"|"Carles García"|"Sergi Gomis"|"84729080"|"2,35"|"5"
"PORTABLE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE / PORTABLE"|"Carles García"|"Sergi Gomis"|"84729080"|"2,35"|"5"
"CONSUMIBLE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE"|"Carles García"|"Sergi Gomis"|"84729080"|"2,35"|"3"
"ETIQUETA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"4"
"GENERAL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA / GENERAL"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"5"
"MANGUITO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA / MANGUITO"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"5"
"CARTUCHO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / CARTUCHO"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"4"
"ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO"|"Carles García"|"Sergi Gomis"|"39269097"|"2,35"|"3"
"CABEZAL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL"|"Carles García"|"Sergi Gomis"|"84729080"|"2,35"|"4"
"CABEZAL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL / CABEZAL"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL / ACCESORIO"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"GUILLOTINA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / GUILLOTINA"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"4"
"ANTENAS"|"COMUNICACIONES INDUSTRIALES"|"COMUNICACIONES INDUSTRIALES / ANTENAS"|"Anna Teotino"|"Anna Teotino"|"85176200"|"7,25"|"2"
"CUTTER"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CUTTER"|"Anna Teotino"|"Anna Teotino"|"85176200"|"2,35"|"4"
"CONTROLADOR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR"|"Anna Teotino"|"Anna Teotino"|"85176200"|"2,35"|"4"
"PCB"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR / PCB"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"CABLE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR / CABLE"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"CHIPSET"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR / CHIPSET"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"4"
"FUENTE EXTERNA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / FUENTE EXTERNA"|"Carles García"|"Rubén Pérez"|"84729080"|"2,35"|"5"
"FUENTE INTERNA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / FUENTE INTERNA"|"Carles García"|"Sergi Gomis"|"84733080"|"2,35"|"5"
"BATERIA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / BATERIA"|"Carles García"|"Sergi Gomis"|"85043180"|"2,35"|"5"
"CABLE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / CABLE"|"Carles García"|"Rubén Pérez"|"85043180"|"2,35"|"5"
