code;name;planned_revenue;probability;partner_id;agent_id;team_id;date_deadline;priority;tag_id;campaign_id;medium_id;partner_name;street;street2;zip;city;state_id;country_id;phone;mobile;email_from;website;contact_name;description;type
OPPN-00164;POSTE INFORMATIVO CON TOUCH (Ingenieria);3.000;;103504;V-MHINAREJ;;06/07/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00165;"Equipo enrackable 19"" (Integracion Sistemas)";7.000;;102959;V-EMOYA;;24/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00166;Subestaciones electricas (Protección y Control Energia);13.000;;101616;V-BNC-NORT;;03/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00167;Duplicadoras de llaves (Industrial CNC);3.000;;103379;V-DMART;;27/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00168;Embasadora (Linea Blanca Industrial);2.000;;101059;V-DMART;;04/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00169;SEGMARE  (AIS ATON para Boyas);6.300;;102404;V-DMART;;05/02/2019;;;;;;;;;;;;;;;;;;opportunity
OPPN-00170;ALARMAS INTRUSIÓN (SEGURIDAD) -WARDIAN;35.000;;103349;V-AVAC-AN;;12/07/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00171;ALARMAS INCENDIO (SEGURIDAD);0;;103349;V-AVAC-AN;;14/03/2018;;;;;;;;;;;;;;;;;;opportunity
OPPN-00172;ALARMAS INTRUSIÓN (SEGURIDAD);24.000;;150057;V-BNC-SUR;;13/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00173;Control procesos industriales (Automocion);0;;102654;V-MFER;;02/03/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00174;ARMA LASER (ACCESORIOS ARMAS);15.000;;101495;V-XAND-AR;;03/03/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00175;Display encajado para control y configuración de Máquina (Montador);7.000;;130062;V-MHINAREJ;;03/03/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00176;Encendido boyas (Maritimo);8.000;;102404;V-DMART;;03/04/2017;;;;;;;;;;;;;;;;;;opportunity
