unique_code|path|name|res_id|res_model|create_date|create_user|comments
7460|/home/odoo_files/Products/JNMF91-G41-LF|I_JNMF91-G41-LF.jpg|JNMF91-G41-LF|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7461|/home/odoo_files/Products/JNMF92-H61|I_NMF92-H61.jpg|JNMF92-H61|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7462|/home/odoo_files/Products/JNP591D4-3160|DS_JNP591D4-3160.pdf|JNP591D4-3160|product_template|2018-04-11|Roger Relats|DataSheet
7463|/home/odoo_files/Products/JNP591D4-3160|IMG_JNP591D4-3160.jpg|JNP591D4-3160|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7464|/home/odoo_files/Products/JNP793D2-3160|IMG_JNP793D2-3160.jpg|JNP793D2-3160|product_template|2018-06-26|Roger Relats|Imagen
7465|/home/odoo_files/Products/JNP793D2-3160|DS_JNP793D2-3160.pdf|JNP793D2-3160|product_template|2018-06-26|Roger Relats|DataSheet
7466|/home/odoo_files/Products/JNP891G32-4105|IMG_JNP891G32-4105.jpg|JNP891G32-4105|product_template|2019-09-25|Roger Relats|Imagen
7467|/home/odoo_files/Products/JNP891G32-4105|DS_JNP891G32-4105.pdf|JNP891G32-4105|product_template|2019-09-25|Roger Relats|DataSheet
7468|/home/odoo_files/Products/JNP93-2930|DS_JNP93-2930.pdf|JNP93-2930|product_template|2016-03-18|Roger Relats|DataSheet
7469|/home/odoo_files/Products/JNP93-2930|IMG_JNP93-2930.jpg|JNP93-2930|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7470|/home/odoo_files/Products/JNP93D4-2930|DS_JNP93-2930-4G.pdf|JNP93D4-2930|product_template|2016-03-18|Roger Relats|DataSheet
7471|/home/odoo_files/Products/JNP93D4-2930|IMG_JNP93-2930-4G.jpg|JNP93D4-2930|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7472|/home/odoo_files/Products/JNP93V2-1900-EP|IMG_JNP93V2G-1900-EP.jpg|JNP93V2-1900-EP|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7473|/home/odoo_files/Products/JNP93V-2930|DS_JNP93V-2930.pdf|JNP93V-2930|product_template|2016-03-18|Roger Relats|DataSheet
7474|/home/odoo_files/Products/JNP93V-2930|IMG_JNP93V-2930.jpg|JNP93V-2930|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7475|/home/odoo_files/Products/JNP93VD4-2930|DS_JNP93V-2930-4G.pdf|JNP93VD4-2930|product_template|2016-03-18|Roger Relats|DataSheet
7476|/home/odoo_files/Products/JNP93VD4-2930|IMG_JNP93V-2930-4G.jpg|JNP93VD4-2930|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7477|/home/odoo_files/Products/JNU91-2930|DS_JNU91-2930.pdf|JNU91-2930|product_template|2017-03-20|Roger Relats|DataSheet
7478|/home/odoo_files/Products/JNU91-2930|IMG_JNU91-2930.jpg|JNU91-2930|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7479|/home/odoo_files/Products/JNU93-2930|IMG_JNU93-2930.jpg|JNU93-2930|product_template|2020-08-03|Roger Relats|Imagen
7480|/home/odoo_files/Products/JNU93-2930|DS_JNU93-2930.pdf|JNU93-2930|product_template|2020-08-03|Roger Relats|DataSheet
7481|/home/odoo_files/Products/JR3128-1A|IMG_JR3128-1A.jpg|JR3128-1A|product_template|2019-03-18|Roger Relats|Imagen
7482|/home/odoo_files/Products/JR3128-1A|DS_JR3128-1A.pdf|JR3128-1A|product_template|2019-03-18|Roger Relats|DataSheet
7483|/home/odoo_files/Products/JR3288LC-2N|IMG_JR3288LC-2N.jpg|JR3288LC-2N|product_template|2019-06-13|Roger Relats|Imagen
7484|/home/odoo_files/Products/JR3288LC-2N|DS_JR3288LC-2N.pdf|JR3288LC-2N|product_template|2019-06-13|Roger Relats|DataSheet
7485|/home/odoo_files/Products/JR3328-DG2N|IMG_JR3388-DG2N.jpg|JR3328-DG2N|product_template|2019-03-18|Roger Relats|Imagen
7486|/home/odoo_files/Products/JR3328-DG2N|DS_JR3388-DG2N.pdf|JR3328-DG2N|product_template|2019-03-18|Roger Relats|DataSheet
7487|/home/odoo_files/Products/K20102D-T-R|2012-02_K20102D-T-R.pdf|K20102D-T-R|product_template|2012-05-24|OdooBot|DataSheet
7488|/home/odoo_files/Products/K663S-232|DS_K663S-232.pdf|K663S-232|product_template|2016-06-27|OdooBot|DataSheet
7489|/home/odoo_files/Products/K663S-232|IMG_K663S-232.jpg|K663S-232|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7490|/home/odoo_files/Products/KAQV214|2011-09_KAQV214.pdf|KAQV214|product_template|2012-05-24|OdooBot|DataSheet
7491|/home/odoo_files/Products/KE-12F3|DS_KE-12F3.pdf|KE-12F3|product_template|2015-05-20|OdooBot|DataSheet
7492|/home/odoo_files/Products/KE-12F3|IMG_KE-12F3.JPG|KE-12F3|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7493|/home/odoo_files/Products/KE-25|INFO_KE-25.pdf|KE-25|product_template|2019-09-10|Carles García|Info Producto
7494|/home/odoo_files/Products/KE-25F3|DS_KE-25F3.pdf|KE-25F3|product_template|2019-04-23|Carles García|DataSheet
7495|/home/odoo_files/Products/KF61|I_KF61.jpg|KF61|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7496|/home/odoo_files/Products/KIMALDI-KAPTIO-PMMA|DS_KIMALDI-KAPTIO-PMMA.pdf|KIMALDI-KAPTIO-PMMA|product_template|2019-01-29|Aina Servent|DataSheet
7497|/home/odoo_files/Products/KIMALDI-KAPTIO-RFID-PMMA|DS_KIMALDI-KAPTIO-RFID-PMMA.pdf|KIMALDI-KAPTIO-RFID-PMMA|product_template|2019-01-29|Aina Servent|DataSheet
7498|/home/odoo_files/Products/KIMALDI-MAPAL-PMMA|DS_KIMALDI-MAPAL-PMMA.pdf|KIMALDI-MAPAL-PMMA|product_template|2019-01-29|Aina Servent|DataSheet
7499|/home/odoo_files/Products/KINO-AH612-R10|DS_KINO-AH612-R10.pdf|KINO-AH612-R10|product_template|2017-10-26|Roger Relats|DataSheet
7500|/home/odoo_files/Products/KINO-AH612-R10|IMG_KINO-AH612-R10.png|KINO-AH612-R10|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7501|/home/odoo_files/Products/KINO-AH612-R10;5Y-SIS|IMG_KINO-AH612-R10;5Y-SIS.png|KINO-AH612-R10/5Y-SIS|product_template|2018-08-20|Roger Relats|Imagen
7502|/home/odoo_files/Products/KINO-AH612-R10;5Y-SIS|DS_KINO-AH612-R10;5Y-SIS.pdf|KINO-AH612-R10/5Y-SIS|product_template|2018-08-20|Roger Relats|DataSheet
7503|/home/odoo_files/Products/KINO-AH612-R10-MNL|DS_KINO-AH612-R10-MNL.pdf|KINO-AH612-R10-MNL|product_template|2018-08-20|Roger Relats|DataSheet
7504|/home/odoo_files/Products/KINO-AH612-R10-MNL|IMG_KINO-AH612-R10-MNL.png|KINO-AH612-R10-MNL|product_template|2018-08-20|Roger Relats|Imagen
