product_code|partner_ref|min_quantity|create_date|create_user
LM5644-11-M07-EWRS|100187|3000|2012-02-16|
LM5644-11-M07-EWRS|100187|2000|2012-03-27|
LM5644-11-M07-EWRS|100187|1800|2012-06-29|
LM5644-11-M07-EWRS|100187|1300|2012-12-05|
LM5644-11-M07-EWRS|100187|310|2013-01-08|
LT0311-41|100593|6000|2009-03-04|
LT0373-41|101466|3000|2009-10-27|
LT0373-41|110095|3000|2009-10-27|
LT03B3-41-UDE3-Z|101466|1500|2009-06-24|
LT03B3-41-UDE3-Z|101466|3000|2010-07-13|
LT2462-24-D51|110473|1000|2011-11-25|
LT8B22-UR-150T|101410|0|2012-01-03|
LT8B22-UR-150T|101410|6000|2021-07-28|Núria Soler
LT8B32-URB-150T|101410|15000|2012-01-03|
LT8B32-URB-150T|101410|9000|2021-01-22|Núria Soler
LT8B32-URB-150T|101410|18000|2021-07-28|Núria Soler
LT8B42-URB-150T|101410|20000|2012-01-03|
LT8B42-URB-150T|101410|21000|2012-01-04|
LT8B42-URB-150T|101410|21000|2021-01-22|Núria Soler
LT8B42-URB-150T|101410|42000|2021-07-28|Núria Soler
LVDS-EMBBT1-JH150/25CM|101623|30|2020-09-28|
LVDS-GBSW5-G121SN01/30CM|100816|30|2020-10-27|Núria Soler
LVDS-GENECV05-DLF1825/40|100816|2|2016-03-22|
LVDS-GENECV05-DLF1825/40|100816|20|2019-09-10|
LVDS-GENECV05-DLF1825/40|100816|30|2020-10-27|Núria Soler
LVDS-GENECV05-DLF1825/40|101623|4|2021-07-29|Núria Soler
LVDS-GENECV05-JH104/35CM|100816|80|2020-10-27|Núria Soler
LVDS-GENECV05-JH104/35CM|101623|20|2020-11-30|Núria Soler
LVDS-PICOCV01A10-D0650BMG|100816|2|2016-03-22|
LVDS-W945GSE-G121SN01V4|100816|2|2016-03-22|
LY11GL-HW3-012|110117|40|2009-04-22|
LY11GL-HW3-012-1|100013|1|2009-11-06|
LY11GL-HW3-012-1|101818|5|2010-01-11|
LY11JT-W3-300|101848|200|2011-07-01|
M66FA-04-STDN|103539|250|2019-04-26|
M66FA-04-STDN|103539|250|2019-05-09|
MAP-VENTILADOR|101623|30|2020-09-28|
MDS-001-B|101623|30|2020-09-28|
MDS-001-B|101623|20|2020-10-05|
MDS-001-B|101623|0|2020-10-28|Núria Soler
MDS-001-B|101623|20|2020-11-30|Núria Soler
