name|parent_id|complete_name
ACTIVIDADES DE DISEÑO ESPECIALIZADO|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉC|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉC / ACTIVIDADES DE DISEÑO ESPECIALIZADO
ACTIVIDADES DE DISEÑO ESPECIALIZADO|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉC / ACTIVIDADES DE DISEÑO ESPECIALIZADO|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉC / ACTIVIDADES DE DISEÑO ESPECIALIZADO / ACTIVIDADES DE DISEÑO ESPECIALIZADO
ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA|INFORMACIÓN Y COMUNICACIONES|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA
ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN
ACTIVIDADES DE DISTRIBUCIÓN CINEMATOGRÁFICA Y DE VÍDEO|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN / ACTIVIDADES DE DISTRIBUCIÓN CINEMATOGRÁFICA Y DE VÍDEO
ACTIVIDADES DE DISTRIBUCIÓN DE PROGRAMAS DE TELEVISIÓN|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN / ACTIVIDADES DE DISTRIBUCIÓN DE PROGRAMAS DE TELEVISIÓN
ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES||ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES
ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES / ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT
ACTIVIDADES DE APOYO A LAS EMPRESAS N.C.O.P.|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES / ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES / ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT / ACTIVIDADES DE APOYO A LAS EMPRESAS N.C.O.P.
ACTIVIDADES DE ENVASADO Y EMPAQUETADO|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES / ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT / ACTIVIDADES DE APOYO A LAS EMPRESAS N.C.O.P.|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES / ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT / ACTIVIDADES DE APOYO A LAS EMPRESAS N.C.O.P. / ACTIVIDADES DE ENVASADO Y EMPAQUETADO
ACTIVIDADES DE EXHIBICIÓN CINEMATOGRÁFICA|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN|INFORMACIÓN Y COMUNICACIONES / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRA / ACTIVIDADES CINEMATOGRÁFICAS, DE VÍDEO Y DE PROGRAMAS DE TELEVISIÓN / ACTIVIDADES DE EXHIBICIÓN CINEMATOGRÁFICA
ACTIVIDADES ADMINISTRATIVAS Y AUXILIARES DE OFICINA|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES / ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXLIARES / ACTIVIDADES ADMINISTRATIVAS DE OFICINA Y OTRAS ACT / ACTIVIDADES ADMINISTRATIVAS Y AUXILIARES DE OFICINA
