"location_id"|"product_qty"|"product_code"|"product_lot_id"
"MONO/Stock"|"2"|"C-FLASH1GB/IG/FD"|""
"MONO/Stock/Dotación"|"1"|"C-FLASH2GB/EAS"|""
"MONO/Stock/Dotación"|"1"|"C-FLASH8GB/FAST/MLC"|""
"MONO/Stock/Dotación"|"1"|"CG0114-12005"|"MJ29EPX110H"
"MONO/Stock"|"4"|"CG0124-12135"|""
"DEP/Stock"|"1"|"CG0124-12135"|""
"DEP/Stock"|"1"|"CG1102-11920"|""
"MONO/Stock"|"1"|"CG1104-11936"|""
"MONO/Stock/Dotación"|"3"|"CG1104-11936"|""
"MONO/Stock"|"1"|"CG1124-12154"|""
"MONO/Stock"|"250"|"CG12864A-NN-FR-W6"|""
"MONO/Stock"|"4"|"CG2123-12117"|""
"DEP/Stock"|"1"|"CG2123-12117"|""
"MONO/Stock"|"4"|"CG9162E-NN-SR-W6"|""
"MONO/Stock"|"1"|"CHASIS-GRIFOLS-MON185"|""
"MONO/Stock/Dotación"|"24"|"CHASIS-KITTFT-15PCAPBYMAR"|""
"MONO/Stock"|"5"|"CHASIS-MON-185/FAN"|""
"MONO/Stock"|"12"|"CHASIS-MON185-IURBAN"|""
"MONO/Stock"|"3"|"CHASIS-MON-7/KAPS"|""
"MONO/Stock"|"1"|"CHASIS-MONPH-7/KAPS"|""
"MONO/Stock"|"1"|"CHASIS-MONPH-7/R00"|""
"MONO/Stock"|"315"|"CHASIS-MON-SEABERY"|""
"MONO/Stock/Restitución"|"3"|"CHASIS-MON-SEABERY"|""
"MONO/Stock"|"5"|"CHASIS-PC-35"|""
"MONO/Stock"|"15"|"CHASIS-PC-GOVATION-BSW"|""
"MONO/Stock"|"14"|"CHASIS-PC-MINITX"|""
"MONO/Stock"|"6"|"CHASIS-PC-MINITX/GALVA"|""
"MONO/Stock"|"51"|"CHASIS-PC-MINITX-I7/V1"|""
"MONO/Stock"|"1"|"CHASIS-PC-MONO"|""
"MONO/Stock"|"10"|"CHASIS-PC-NEWHELIX"|""
"MONO/Stock"|"12"|"CHASIS-PC-NEWHELIX-BSW"|""
"MONO/Stock"|"4"|"CHASIS-PERFILMARCO/SELPRO"|""
"MONO/Stock"|"21"|"CHASIS-PPC-065-PCAP/BW"|""
"MONO/Stock"|"6"|"CHASIS-PPC-101/OUT"|""
"MONO/Stock"|"1"|"CHASIS-PPC104/SELFPRO"|""
"MONO/Stock"|"126"|"CHASIS-PPC104/SELFPRO/V3"|""
"MONO/Stock"|"16"|"CHASIS-PPC104/WAYNE"|""
"MONO/Stock"|"20"|"CHASIS-PPC104-CETIL"|""
"MONO/Stock"|"5"|"CHASIS-PPC-121CARD-5"|""
"MONO/Stock"|"2"|"CHASIS-PPC-121CARD5-BSW"|""
"MONO/Stock"|"11"|"CHASIS-PPC15/ALUM"|""
"MONO/Stock"|"71"|"CHASIS-PPC-150/MITX/ALU"|""
"MONO/Stock"|"5"|"CHASIS-PPC-15CETILCAS-BSW"|""
"MONO/Stock"|"65"|"CHASIS-PPC-185/FAN"|""
"MONO/Stock"|"11"|"CHASIS-PPC-185/GALVA"|""
"MONO/Stock"|"8"|"CIE-4LS130TET512MW"|""
"MONO/Stock/Dotación"|"1"|"CIE-MSM305MKB128GS"|""
"MONO/Stock"|"422"|"CINTA-ADHESIVA-DC/2MM"|""
"MONO/Stock"|"200"|"CINTA-ADHESIVA-DC/2MM-SAT"|""
"MONO/Stock/SAT"|"15"|"CINTA-ADHESIVA-DC/2MM-SAT"|""
"MONO/Stock"|"8"|"CIR-S1SUPD33512"|""
"MONO/Stock/Restitución"|"1"|"CIS-2SM350TLD128GW"|""
"MONO/Stock"|"7"|"CK45-E3DD102ZYNNA"|""
"MONO/Stock"|"5"|"CK-USB-04A"|""
"DEP/Stock"|"3"|"CL-212-CR"|""
"MONO/Stock"|"3"|"CMM5042"|""
"MONO/Stock"|"95"|"CMX865AE4"|""
"MONO/Stock/Dotación"|"525"|"CN0101016DBAQ"|""
"MONO/Stock"|"3"|"CN5036"|""
"MONO/Stock"|"28"|"CNPS90F"|""
"MONO/Stock"|"49"|"COMBO-PH10276-I50V10-PD"|""
"MONO/Stock/Restitución"|"4"|"COMBO-PH10276-I50V10-PD"|""
"MONO/Stock"|"2"|"CONECT-MOLEX/2X2"|""
"DEP/Stock"|"1"|"CONECT-MOLEX/2X2"|""
"MONO/Stock"|"1"|"COOLER-7106HP"|""
"MONO/Stock"|"1"|"CORE-I3-27/6100TE"|""
"MONO/Stock"|"2"|"CORE-I5-21/8500T"|""
"MONO/Stock"|"2"|"CORE-I5-27/7500T"|""
"MONO/Stock"|"9"|"CORE-I7-2.66/620M"|""
"MONO/Stock"|"1"|"CORE-I7-29/10700"|""
"MONO/Stock"|"15"|"CORE-I7-29/10700E"|""
